Resolver IP,Last Event Date,Attempted Rankings,Successful Rankings,Top 10 Count,Top 25 Count,Top 50 Count,Top 75 Count,Top 100 Count,Top 200 Count
62.201.159.99,4/12/2019,684287,2028,358,190,212,235,198,835
62.204.64.101,4/11/2019,684287,72708,3220,4903,10822,14054,13047,26662
62.209.175.66,4/11/2019,684287,1664,76,166,206,217,191,808
62.209.175.70,4/10/2019,684287,1796,103,150,229,242,211,861
62.211.69.150,4/10/2019,684287,15966,434,1124,3185,2377,2110,6736
62.212.64.121,4/10/2019,684287,1578,83,123,195,214,196,767
62.212.64.122,4/10/2019,684287,2035,188,178,283,255,249,882
62.212.65.123,4/11/2019,684287,2079,179,182,313,276,232,897
62.213.0.12,4/12/2019,684287,1795,179,140,211,228,205,832
62.215.6.4,4/8/2019,684287,1786,128,126,218,210,207,897
62.215.6.5,4/10/2019,684287,1735,124,125,187,231,215,853
62.215.6.51,4/11/2019,684287,1867,139,134,215,213,219,947
62.215.6.52,4/10/2019,684287,1663,123,126,184,212,219,799
62.216.31.55,4/10/2019,684287,1642,81,118,220,221,187,815
62.217.132.65,4/11/2019,684287,1826,98,168,228,202,211,919
62.219.186.194,4/11/2019,684287,1666,73,107,199,215,212,860
62.220.18.8,4/12/2019,684287,24232,658,1030,3214,3184,2938,13208
62.231.32.10,4/9/2019,684287,1696,121,125,226,197,188,839
62.231.32.11,4/10/2019,684287,1780,114,127,208,233,220,878
62.231.76.49,4/9/2019,684287,78640,1560,2840,2605,3310,6454,61871
62.231.96.2,4/10/2019,684287,3124,137,406,417,359,320,1485
62.233.128.17,4/12/2019,684287,140541,4728,3389,7046,13851,37146,74381
62.236.57.120,4/11/2019,684287,7999,897,933,1264,929,950,3026
62.240.32.5,4/11/2019,684287,5495,512,513,574,540,563,2793
62.240.110.92,4/10/2019,684287,1726,110,113,206,187,232,878
62.240.110.197,4/10/2019,684287,1742,209,136,199,188,182,828
62.240.110.218,4/10/2019,684287,2621,161,196,282,261,288,1433
62.241.162.35,4/11/2019,684287,1661,71,119,239,232,185,815
62.241.163.200,4/12/2019,684287,1806,188,127,218,247,215,811
62.241.163.201,4/10/2019,684287,2605,329,269,431,413,257,906
62.243.190.7,4/12/2019,684287,87071,2463,4482,7303,13510,20241,39072
62.243.190.8,4/10/2019,684287,87547,2501,4488,7353,13505,20343,39357
62.244.176.176,4/2/2019,684287,1727,93,149,216,198,225,846
62.244.177.177,4/10/2019,684287,1621,84,123,196,213,184,821
